Course,Department&Year (REMEMBER : INCLUDE 'EP' IN 'PH' AND 'EE' COURSES. INCLUDE 'NA' IN 'OE' COURSES. INCLUDE 'BE','BS' IN 'BT' COURSES,,)
BT1000,BS15,BS16,BE15,BE16,BS17,BE17,
BT1010,BS15,BS16,BE15,BE16,BS17,BE17,
BT1022,BS15,BS16,BE15,BE16,BS17,BE17,
BT2010,BS15,BS16,BE15,BE16,BS17,BE17,
BT2012,BS15,BS16,BE15,BE16,BS17,BE17,
BT2030,BS15,BS16,BE15,BE16,BS17,BE17,
BT2062,BS15,BS16,BE15,BE16,BS17,BE17,
BT2111,BS15,BS16,BE15,BE16,BS17,BE17,
BT2112,BS15,BS16,BE15,BE16,BS17,BE17,
BT2121,BS15,BS16,BE15,BE16,BS17,BE17,
BT3012,BS15,BS16,BE15,BE16,BS17,BE17,
BT3032,BS15,BS16,BE15,BE16,BS17,BE17,
BT3051,BS15,BS16,BE15,BE16,BS17,BE17,
BT3072,BS15,BS16,BE15,BE16,BS17,BE17,
BT3110,BS15,BS16,BE15,BE16,BS17,BE17,
BT3121,BS15,BS16,BE15,BE16,BS17,BE17,
BT3230,BS15,BS16,BE15,BE16,BS17,BE17,
BT4110,BS15,BS16,BE15,BE16,BS17,BE17,
BT5011,BS15,BS16,BE15,BE16,BS17,BE17,
BT5012,BS15,BS16,BE15,BE16,BS17,BE17,
BT5031,BS15,BS16,BE15,BE16,BS17,BE17,
BT5051,BS15,BS16,BE15,BE16,BS17,BE17,
BT5071,BS15,BS16,BE15,BE16,BS17,BE17,
BT5130,BS15,BS16,BE15,BE16,BS17,BE17,
BT5170,BS15,BS16,BE15,BE16,BS17,BE17,
BT5230,BS15,BS16,BE15,BE16,BS17,BE17,
BT5370,BS15,BS16,BE15,BE16,BS17,BE17,
BT5420,BS15,BS16,BE15,BE16,BS17,BE17,
BT6230,BS15,BS16,BE15,BE16,BS17,BE17,
BT6270,BS15,BS16,BE15,BE16,BS17,BE17,
BT6320,BS15,BS16,BE15,BE16,BS17,BE17,
ID5030,ED15,ED16,ED17,ME15,ME16,ME17,
EE1100,EP15,EP16,EP17,
EE1102,EP15,EP16,EP17,
EE1103,EP15,EP16,EP17,
EE2003,EP15,EP16,EP17,
EE2015,EP15,EP16,EP17,
EE2025,ME16,
EE3002,EP15,EP16,EP17,
EE3003,EP15,EP16,EP17,
EE3004,EP15,EP16,EP17,
EE3005,EP15,EP16,EP17,
EE3006slotP,EP15,EP16,EP17,
EE3006slotR,EP15,EP16,EP17,
EE3301,EP15,EP16,EP17,
EE3313,EP15,EP16,EP17,
EE4140,EP15,EP16,EP17,
EE4371,EP15,EP16,EP17,
EE4502,EP15,EP16,EP17,
EE4708,EP15,EP16,EP17,
EE5011,EP15,EP16,EP17,
EE5120,EP15,EP16,EP17,
EE5142,EP15,EP16,EP17,
EE5150,EP15,EP16,EP17,
EE5200,EP15,EP16,EP17,
EE5201,EP15,EP16,EP17,
EE5204,EP15,EP16,EP17,
EE5253,EP15,EP16,EP17,
EE5311,EP15,EP16,EP17,
EE5312,EP15,EP16,EP17,
EE5325,EP15,EP16,EP17,
EE5345,EP15,EP16,EP17,
EE5346,EP15,EP16,EP17,
EE5410,EP15,EP16,EP17,
EE5411,EP15,EP16,EP17,
EE5413,EP15,EP16,EP17,
EE6132,EP15,EP16,EP17,
EE6324,EP15,EP16,EP17,
EE6341,EP15,EP16,EP17,
EP2090,EP15,EP16,EP17,
EP2100,EP15,EP16,EP17,
EP2102,EP15,EP16,EP17,
EP2110,EP15,EP16,EP17,
EP2210,EP15,EP16,EP17,
EP3120,EP15,EP16,EP17,
EP3200,EP15,EP16,EP17,
EP3200,EP15,EP16,EP17,
EP3290,EP15,EP16,EP17,
EP4040,EP15,EP16,EP17,
EP4140,EP15,EP16,EP17,
ID4100,EP15,EP16,EP17,
OE2013,NA15,NA16,NA17,
OE2023,NA15,NA16,NA17,
OE3015,NA15,NA16,NA17,
OE3025,NA15,NA16,NA17,
OE3035,NA15,NA16,NA17,
OE3045,NA15,NA16,NA17,
OE3190,NA15,NA16,NA17,
OE4050,NA15,NA16,NA17,
OE5012,NA15,NA16,NA17,
OE5200,NA15,NA16,NA17,
OE5310,NA15,NA16,NA17,
OE5320,NA15,NA16,NA17,
OE5650,NA15,NA16,NA17,
OE6002,NA15,NA16,NA17,
OE6003,NA15,NA16,NA17,
OE6006,NA15,NA16,NA17,
OE6200,NA15,NA16,NA17,
OE6980,NA15,NA16,NA17,
OE6990,NA15,NA16,NA17,
PE6020,NA15,NA16,NA17,
PE6050,NA15,NA16,NA17,
PE6317,NA15,NA16,NA17,
PE6030,NA15,NA16,NA17,
PH1010,EP15,EP16,EP17,
PH1020,EP15,EP16,EP17,
PH1030slotP1,EP15,EP16,EP17,
PH1030slotP2,EP15,EP16,EP17,
PH1030slotQ1,EP15,EP16,EP17,
PH1030slotQ2,EP15,EP16,EP17,
PH1030slotR1,EP15,EP16,EP17,
PH1030slotR2,EP15,EP16,EP17,
PH1030slotS1,EP15,EP16,EP17,
PH1030slotS2,EP15,EP16,EP17,
PH1030slotT1,EP15,EP16,EP17,
PH1030slotT2,EP15,EP16,EP17,
PH1080,EP15,EP16,EP17,
PH2050,EP15,EP16,EP17,
PH2140,EP15,EP16,EP17,
PH2170,EP15,EP16,EP17,
PH3500,EP15,EP16,EP17,
PH5030,EP15,EP16,EP17,
PH5040,EP15,EP16,EP17,
PH5050,EP15,EP16,EP17,
PH5060,EP15,EP16,EP17,
PH5100,EP15,EP16,EP17,
PH5110,EP15,EP16,EP17,
PH5210,EP15,EP16,EP17,
PH5211,EP15,EP16,EP17,
PH5270,EP15,EP16,EP17,
PH5410,EP15,EP16,EP17,
PH5460,EP15,EP16,EP17,
PH5840,EP15,EP16,EP17,
PH6022,EP15,EP16,EP17,
