Student Roll Number, Course ID 
AE15B001,CS7015
AE15B001,AS5711
AE15B001,CS2300A
AE15B001,MA5741
AE15B001,GN6107
AE15B002,AS4600
AE15B003,AS4600
AE15B003,GN5001
AE15B003,MS3710
AE15B003,AM5050
AE15B003,HS3031
AE15B003,HS4290
AE15B005,AS5711
AE15B005,HS3007
AE15B005,GN6106
AE15B006,MS3510
AE15B006,HS4300
AE15B006,AS5711
AE15B006,AS4600
AE15B007,AS4600
AE15B007,HS4002
AE15B008,AS4600
AE15B008,AS5570
AE15B008,HS3420
AE15B008,MS3610
AE15B008,AS5420
AE15B009,GN6107
AE15B009,AS5370
AE15B009,HS3420
AE15B010,AS5470
AE15B010,AS5545
AE15B010,AS5711
AE15B010,AS5570
AE15B010,HS4350
AE15B011,AS5925
AE15B011,HS2050
AE15B011,AS5711
AE15B011,AS6020
AE15B011,GN6101
AE15B011,AS5420
AE15B012,AS5711
AE15B012,AS5420
AE15B012,MS3610
AE15B012,HS3420
AE15B012,MS6010
AE15B013,AS5711
AE15B013,HS3007
AE15B013,GN6106
AE15B013,AS5610
AE15B013,MS3610
AE15B014,AS5420
AE15B014,ED5011
AE15B014,AS6020
AE15B015,AS5711
AE15B015,MS3610
AE15B015,HS3031
AE15B016,AS5711
AE15B016,CS2700A
AE15B016,HS3031
AE15B018,HS3007
AE15B018,MS3610
AE15B018,AS5610
AE15B018,AS5711
AE15B018,MS6010
AE15B019,AS4600
AE15B019,AS5100
AE15B019,AM5650
AE15B019,AS5610
AE15B019,HS2050
AE15B019,AS5320
AE15B020,AS6020
AE15B020,MA5540
AE15B020,HS2030
AE15B020,AS5711
AE15B020,AS5420
AE15B020,GN6101
AE15B021,AS5711
AE15B021,CS2700A
AE15B021,HS3031
AE15B022,AS5545
AE15B022,MA5540
AE15B022,GN6101
AE15B022,HS3007
AE15B023,AS5545
AE15B023,MA5540
AE15B023,HS2030
AE15B023,AS6020
AE15B023,GN6101
AE15B025,MS3510
AE15B025,AS5925
AE15B025,AS5570
AE15B026,CH5120
AE15B026,MA5540
AE15B026,AS5545
AE15B029,HS3007
AE15B029,GN5001
AE15B029,AS5711
AE15B029,AS4600
AE15B030,HS1110
AE15B030,HS2030
AE15B030,AM5650
AE15B030,AS5880
AE15B030,GN6106
AE15B031,AS5550
AE15B031,AS5320
AE15B031,HS3031
AE15B031,CE1010
AE15B031,AS5570
AE15B031,HS4002
AE15B032,AS5711
AE15B032,CS2700A
AE15B032,HS3031
AE15B033,AS5711
AE15B033,MS4110
AE15B033,GN5001
AE15B033,HS4300
AE15B033,AS5470
AE15B033,AS5570
AE15B035,CH5350
AE15B035,GN5001
AE15B035,MS4100
AE15B035,MS3610
AE15B036,HS1090
AE15B036,AS5470
AE15B036,AM5650
AE15B036,AS5545
AE15B037,CS7015
AE15B037,ID5030
AE15B037,ID6040
AE15B037,AM5640
AE15B038,MS3610
AE15B038,HS4001
AE15B038,AS5711
AE15B038,AS4600
AE15B039,ID5030
AE15B039,HS2030
AE15B039,CH5350
AE15B040,CH5350
AE15B040,ID5030
AE15B040,HS4001
AE15B040,AS5570
AE15B042,CS2700A
AE15B042,HS4010
AE15B042,AS5711
AE15B042,GN6106
AE15B042,MS3610
AE15B043,AS5570
AE15B043,HS4001
AE15B043,AS5711
AE15B043,AS5550
AE15B044,AS5711
AE15B044,PH5460
AE15B044,HS3420
AE15B044,AS5550
AE15B044,AS5570
AE15B044,AS5100
AE15B045,CS2700A
AE15B045,AS5711
AE15B045,HS3420
AE15B046,BT6270
AE15B046,AM6516
AE15B046,BT3072
AE15B046,AS5610
AE15B046,HS2050
AE15B050,AS5711
AE15B050,AS5610
AE15B050,MS3610
AE15B050,HS2050
AE15B050,AM5011
AE15B051,CS6023
AE15B051,CS3700
AE15B051,HS3007
AE15B051,ED5315
AE15B052,GN5001
AE15B053,AS5570
AE15B053,EE5204
AE15B053,AS5925
AE15B053,HS4001
AE15B055,MS4110
AE15B055,AS5711
AE15B055,HS3031
AE15B056,CH5170
AE15B056,CH5350
AE15B056,HS4001
AE15B058,HS4001
AE15B058,MS3610
AE15B059,HS4001
AE15B059,AS5320
AE15B059,AS5470
AE15B059,AS5420
AE16B001,MA2031
AE16B001,AS5420
AE16B002,MA5310
AE16B002,MS3510
AE16B003,MS3510
AE16B004,AS5610
AE16B004,MA2031
AE16B005,MA2040
AE16B005,AS5570
AE16B006,MA2040
AE16B006,AS5420
AE16B007,AS5370
AE16B008,PH3500
AE16B008,MA2031
AE16B009,MA2031
AE16B009,AM5450
AE16B010,AS5420
AE16B010,MA2031
AE16B011,MA2130
AE16B011,AS5570
AE16B012,MA2040
AE16B013,MA2130
AE16B013,AS5570
AE16B014,MA2040
AE16B015,MA2040
AE16B015,MS3510
AE16B016,MA2130
AE16B016,PH3500
