Student Roll Number, Preference with zero capacity
AE15B001,CS2700$outside
AE15B001,EE2003$outside
AE15B002,EE6324$outside
AE15B002,EE5311$outside
AE15B002,AS4600$outside
AE15B003,AS4600$outside
AE15B006,AS4600$outside
AE15B007,AS4600$outside
AE15B008,AS4600$outside
AE15B009,AS5370$outside
AE15B009,AS4600$outside
AE15B011,ME6127$outside
AE15B014,ME6580$outside
AE15B015,CS5691$outside
AE15B015,EE4708$outside
AE15B015,EE4371$outside
AE15B019,AS4600$outside
AE15B019,AS5100$outside
AE15B020,ME6127$outside
AE15B023,ME6127$outside
AE15B026,PH5211$outside
AE15B029,EE4371$outside
AE15B029,AS4600$outside
AE15B030,ID4100$outside
AE15B035,ID4100$outside
AE15B037,EE4371$outside
AE15B038,EE4371$outside
AE15B038,AS4600$outside
AE15B039,EE4371$outside
AE15B040,EE4371$outside
AE15B044,ID4100$outside
AE15B044,AS5100$outside
AE15B051,ID4100$outside
AE16B007,AS5370$outside
AE16B024,AS5370$outside
AE16B044,AS5370$outside
AE16B104,ME5303$outside
AE16B113,AS5370$outside
AE16B115,ME5303$outside
AE17B022,EE3002$outside
AE17B022,EE4140$outside
AE17B109,EE4371$outside
BE15B004,CS5691$outside
BE15B004,BT4110$outside
BE15B004,CS4900$outside
BE15B005,BT4110$outside
BE15B007,BT4110$outside
BE15B009,ID4100$outside
BE15B011,BT4110$outside
BE15B012,BT4110$outside
BE15B012,CS5691$outside
BE15B014,BT3121$outside
BE15B015,CS2700$outside
BE15B017,BT4110$outside
BE15B018,BT3121$outside
BE15B019,BT4110$outside
BE15B023,BT4110$outside
BE15B025,BT4110$outside
BE15B028,BT4110$outside
BE15B029,BT4110$outside
BE15B030,BT6540$outside
BE15B032,BT4110$outside
BE16B002,ID4100$outside
BE16B010,ID4100$outside
BE16B011,ID4100$outside
BS15B005,BT4110$outside
BS15B008,CS5691$outside
BS15B011,BT6540$outside
BS15B013,CS2700$outside
BS16B008,EE4371$outside
BS16B013,EE4371$outside
BS16B014,BT6540$outside
BS16B024,IL4020$outside
CE15B001,GN5001$inside
CE15B001,CE5020$outside
CE15B002,GN5001$inside
CE15B002,CE5020$outside
CE15B003,CE5020$outside
CE15B003,GN5001$inside
CE15B005,CE6780$inside
CE15B006,EE4708$outside
CE15B006,CE6050$outside
CE15B007,CE5020$outside
