Student Roll No,Course Number,Reason for Not allotting Preference
AE15B001,CS2700$outside,Course capacity is full.
AE15B001,AS5711$outside,Already allotted to inside department version of the course
AE15B001,ID5030$outside,Course capacity is full.
AE15B001,MS4110$outside,Course capacity is full.
AE15B001,HS4031$outside,Slot Clash with already allotted elective course AS5711
AE15B001,EE2003$outside,Course capacity is full.
AE15B001,MA2040$outside,Slot Clash with already allotted elective course CS7015
AE15B001,GN6106$outside,Course capacity is full.
AE15B001,GN6101$outside,Slot Clash with already allotted elective course GN6107
AE15B001,GN5001$outside,Course capacity is full.
AE15B002,EE6324$outside,Course capacity is full.
AE15B002,EE5311$outside,Course capacity is full.
AE15B002,MA2031$outside,Course capacity is full.
AE15B002,AS4600$outside,Already allotted to inside department version of the course
AE15B002,HS1110$outside,Course capacity is full.
AE15B002,HS1090$outside,Course capacity is full.
AE15B003,AS4600$outside,Already allotted to inside department version of the course
AE15B003,CE6015$outside,Slot Clash with already allotted elective course MS3710
AE15B003,AM5011$outside,Slot Clash with already allotted elective course GN5001
AE15B003,AM5119$outside,Slot Clash with already allotted elective course GN5001
AE15B003,HS3060$outside,Slot Clash with already allotted elective course HS3031
AE15B003,HS2050$outside,Slot Clash with already allotted elective course HS3031
AE15B003,HS2030$outside,Slot Clash with already allotted elective course HS3031
AE15B003,HS3420$outside,Slot Clash with already allotted elective course HS3031
AE15B003,HS4300$outside,Slot Clash with already allotted elective course HS3031
AE15B003,HS4031$outside,Slot Clash with already allotted elective course HS4290
AE15B003,HS4002$outside,Slot Clash with already allotted elective course HS4290
AE15B005,AS5711$outside,Already allotted to inside department version of the course
AE15B005,CS2700A$outside,Course capacity is full.
AE15B005,ID5030$outside,Course capacity is full.
AE15B005,GN6106$outside,Course capacity is full.
AE15B005,MA2040$outside,Course capacity is full.
AE15B006,AS5550$inside,Slot Clash with already allotted elective course MS3510
AE15B006,AS5550$outside,Slot Clash with already allotted elective course MS3510
AE15B006,CH5170$outside,Slot Clash with already allotted elective course MS3510
AE15B006,CH5120$outside,Course capacity is full.
AE15B006,HS3420A$outside,Slot Clash with already allotted elective course HS4300
AE15B006,HS3420$outside,Slot Clash with already allotted elective course HS4300
AE15B006,HS2030$outside,Slot Clash with already allotted elective course HS4300
AE15B006,AS5711$outside,Already allotted to inside department version of the course
AE15B006,HS1110$outside,Slot Clash with already allotted elective course AS5711
AE15B006,AS4600$outside,Already allotted to inside department version of the course
AE15B006,GN5001$outside,Course capacity is full.
AE15B006,GN6101$outside,Slot Clash with already allotted elective course GN6107
AE15B007,AS4600$outside,Already allotted to inside department version of the course
AE15B007,HS1090$outside,Course capacity is full.
AE15B007,GN5001$outside,Course capacity is full.
AE15B008,AS4600$outside,Already allotted to inside department version of the course
AE15B008,AS5570$outside,Already allotted to inside department version of the course
AE15B008,HS3031$outside,Slot Clash with already allotted elective course HS3420
AE15B008,HS1090$outside,Course capacity is full.
AE15B008,GN5001$outside,Course capacity is full.
AE15B008,GN6106$outside,Course capacity is full.
AE15B008,AS5420$outside,Already allotted to inside department version of the course
AE15B009,AS5370$outside,Already allotted to inside department version of the course
AE15B009,CH5120$outside,Course capacity is full.
AE15B009,HS3420A$outside,Slot Clash with already allotted elective course HS3420
AE15B009,HS4571$outside,Slot Clash with already allotted elective course AS5370
AE15B009,AS4600$outside,Already allotted to inside department version of the course
AE15B010,AS5470$outside,Already allotted to inside department version of the course
AE15B010,AS5545$outside,Already allotted to inside department version of the course
AE15B010,AS5711$outside,Already allotted to inside department version of the course
AE15B010,AS5570$outside,Already allotted to inside department version of the course
AE15B010,HS3031$outside,Slot Clash with already allotted elective course HS4350
AE15B010,HS3420$outside,Slot Clash with already allotted elective course HS4350
AE15B011,AS5925$outside,Already allotted to inside department version of the course
AE15B011,HS3007$outside,Slot Clash with already allotted elective course HS2050
AE15B011,HS4010$outside,Slot Clash with already allotted elective course HS2050
AE15B011,ME6127$outside,Course capacity is full.
AE15B011,AS5711$outside,Already allotted to inside department version of the course
AE15B011,MA5400$outside,Course capacity is full.
AE15B011,AS6020$outside,Already allotted to inside department version of the course
AE15B011,GN6106$outside,Course capacity is full.
AE15B011,GN6107$outside,Slot Clash with already allotted elective course GN6101
AE15B011,HS5920$outside,Slot Clash with already allotted elective course AS5711
