Course ID,Number of Rejections,Course Capacity,Number of Rejections / Capacity
AM1100$inside,0,0,0.0
AM1100$outside,0,0,0.0
AM2200$inside,0,0,0.0
AM2200$outside,0,0,0.0
AM2530$inside,0,0,0.0
AM2530$outside,0,0,0.0
AM2540$inside,0,0,0.0
AM2540$outside,0,0,0.0
AM5010$inside,0,0,0.0
AM5010$outside,0,20,0.0
AM5011$inside,0,0,0.0
AM5011$outside,0,20,0.0
AM5014$inside,0,0,0.0
AM5014$outside,0,20,0.0
AM5016$inside,0,0,0.0
AM5016$outside,0,20,0.0
AM5021$inside,0,0,0.0
AM5021$outside,0,20,0.0
AM5024$inside,0,0,0.0
AM5024$outside,0,20,0.0
AM5030$inside,0,0,0.0
AM5030$outside,0,20,0.0
AM5050$inside,0,0,0.0
AM5050$outside,0,20,0.0
AM5119$inside,0,0,0.0
AM5119$outside,0,20,0.0
AM5390$inside,0,0,0.0
AM5390$outside,0,20,0.0
AM5450$inside,0,0,0.0
AM5450$outside,0,20,0.0
AM5510$inside,0,0,0.0
AM5510$outside,0,20,0.0
AM5530$inside,0,0,0.0
AM5530$outside,0,15,0.0
AM5540$inside,0,0,0.0
AM5540$outside,0,20,0.0
AM5600$inside,0,0,0.0
AM5600$outside,0,25,0.0
AM5630$inside,0,0,0.0
AM5630$outside,0,25,0.0
AM5640$inside,0,0,0.0
AM5640$outside,0,20,0.0
AM5650$inside,0,0,0.0
AM5650$outside,0,20,0.0
AM5801$inside,0,0,0.0
AM5801$outside,0,25,0.0
AM5810$inside,0,0,0.0
AM5810$outside,0,25,0.0
AM6516$inside,0,0,0.0
AM6516$outside,0,20,0.0
AS1020*$inside,0,0,0.0
AS1020*$outside,0,4,0.0
AS1020$inside,0,0,0.0
AS1020$outside,0,4,0.0
AS2010$inside,0,0,0.0
AS2010$outside,0,4,0.0
AS2010*$inside,0,0,0.0
AS2010*$outside,0,4,0.0
AS2040*$inside,0,0,0.0
AS2040*$outside,0,4,0.0
AS2040$inside,0,0,0.0
AS2040$outside,0,4,0.0
AS2100$inside,0,0,0.0
AS2100$outside,0,0,0.0
AS2101$inside,0,0,0.0
AS2101$outside,0,0,0.0
AS2520$inside,0,0,0.0
AS2520$outside,0,0,0.0
AS3020$inside,0,0,0.0
AS3020$outside,0,4,0.0
