SlotName,Timings(comma seperated),,,
A,MON=8:00-8:50,TUE=13:00-13:50,THU=11:00-11:50,FRI=10:00-10:50
B,MON=9:00-9:50,TUE=8:00-8:50,WED=13:00-13:50,FRI=11:00-11:50
C,MON=10:00-10:50,TUE=9:00-9:50,WED=8:00-8:50,FRI=13:00-13:50
D,MON=11:00-11:50,TUE=10:00-10:50,WED=9:00-9:50,THU=13:00-13:50
E,TUE=11:00-11:50,WED=10:00-10:50,THU=8:00-8:50,FRI=16:50-17:40
F,TUE=16:50-17:40,WED=11:00-11:50,THU=9:00-9:50,FRI=8:00-8:50
G,MON=13:00-13:50,WED=16:50-17:40,THU=10:00-10:50,FRI=9:00-9:50
H,MON=14:00-15:15,WED=15:25-16:40,,
J,TUE=14:00-15:15,THU=15:25-16:40,,
K,TUE=15:25-16:40,WED=14:00-15:15,,
L,MON=15:25-16:40,THU=14:00-15:15,,
M,THU=16:50-18:05,FRI=14:00-15:15,,
P,MON=14:00-16:40,,,
Q,TUE=14:00-16:40,,,
R,WED=14:00-16:40,,,
S,THU=14:00-16:40,,,
T,FRI=14:00-16:40,,,
A1,MON=8:00-8:50,THU=11:00-11:50,FRI=10:00-10:50,
B1,MON=9:00-9:50,TUE=8:00-8:50,FRI=11:00-11:50,
C1,MON=10:00-10:50,TUE=9:00-9:50,WED=8:00-8:50,
D1,MON=11:00-11:50,TUE=10:00-10:50,WED=9:00-9:50,
E1,TUE=11:00-11:50,WED=10:00-10:50,THU=8:00-8:50,
F1,WED=11:00-11:50,THU=9:00-9:50,FRI=8:00-8:50,
G1,THU=10:00-10:50,FRI=9:00-9:50,,
P1,MON=14:00-16:50,,,
Q1,TUE=14:00-16:50,,,
R1,WED=14:00-16:50,,,
S1,THU=14:00-16:50,,,
T1,FRI=14:00-16:50,,,
A2,TUE=16:00-16:50,WED=13:00-13:50,FRI=15:00-15:50,
B2,WED=14:00-14:50,THU=13:00-13:50,FRI=16:00-16:50,
C2,MON=13:00-13:50,WED=15:00-15:50,THU=14:00-14:50,
D2,MON=14:00-14:50,WED=16:00-16:50,THU=15:00-15:50,
E2,MON=15:00-15:50,TUE=13:00-13:50,THU=16:00-16:50,
F2,MON=16:00-16:50,TUE=14:00-14:50,FRI=13:00-13:50,
G2,TUE=15:00-15:50,FRI=14:00-14:50,,
P2,MON=9:00-11:50,,,
Q2,TUE=9:00-11:50,,,
R2,WED=9:00-11:50,,,
S2,THU=9:00-11:50,,,
T2,FRI=9:00-11:50,,,
